year,Active,Deferred,Draft,"Draft (Some confusion applies: The announcements for this never made it to the list, so it hasn't had public discussion)",Final,Obsolete,Proposed,Rejected,Replaced,Withdrawn
2011,0,1,0,0,3,0,0,0,2,2
2012,0,0,0,1,9,0,1,3,1,1
2013,0,0,0,0,6,0,0,1,0,0
2014,0,2,0,0,5,1,1,0,0,1
2015,1,0,1,0,11,0,2,10,0,6
2016,1,1,1,0,8,0,0,5,1,1
2017,0,0,8,0,8,0,0,7,0,2
2018,0,0,4,0,0,0,0,0,1,0
2019,0,0,6,0,3,0,1,0,0,0
2020,0,0,1,0,7,0,3,0,0,1
2021,0,0,2,0,11,0,0,0,0,0
2022,0,0,6,0,1,0,1,0,0,0
2023,0,0,2,0,0,0,1,0,0,1
2024,0,0,4,0,2,0,4,0,0,0
2025,0,0,5,0,0,0,0,0,0,0
