word,count
code,4263
tt,3263
bip,2606
0,2165
key,2068
bitcoin,1983
1,1914
transaction,1731
sub,1626
2,1369
pre,1335
block,1260
https,1207
s,1078
script,1062
public,994
com,968
transactions,911
hash,865
byte,851
bytes,850
output,847
version,834
data,773
use,770
comments,755
ref,747
message,729
github,725
address,721
signature,720
new,719
input,688
mediawiki,665
keys,653
payment,651
number,647
value,633
type,620
size,619
set,604
time,553
32,545
3,528
witness,495
m,488
bips,487
outputs,457
following,450
inputs,449
wallet,447
bit,446
4,445
org,444
protocol,444
blocks,434
implementation,417
p,417
x,412
n,411
network,399
case,390
peer,383
string,379
path,368
node,364
private,363
index,359
valid,359
master,354
consensus,352
return,352
user,347
standard,346
specification,344
derivation,339
change,338
e,338
wallets,336
g,334
chain,334
signatures,334
order,333
bits,333
b,327
proof,325
format,324
t,322
example,322
non,322
proposal,321
license,321
addresses,317
nodes,314
style,311
uri,311
field,298
defined,295
length,295
k,292
messages,289
created,284
required,281
possible,280
single,272
information,269
support,269
psbt,267
reference,264
tree,263
wiki,261
fork,261
based,258
stack,258
rules,257
blob,257
status,256
let,256
list,255
sup,254
author,252
different,252
scripts,252
invalid,250
sender,249
compatibility,247
hex,247
clients,246
taproot,245
document,239
software,239
layer,239
allow,238
sha256,237
allows,236
encoded,235
r,234
5,233
receiver,232
spend,230
secret,229
request,228
future,228
pubkey,225
8,224
values,223
way,222
client,222
c,222
final,218
fee,218
algorithm,215
applications,212
existing,212
given,209
peers,205
signer,203
users,202
multiple,200
server,200
nonce,200
motivation,199
test,197
specified,197
scriptpubkey,197
soft,196
need,195
signing,195
note,194
encoding,194
background,193
instead,192
title,191
text,191
height,191
filter,191
template,190
color,190
result,189
header,188
summary,187
abstract,186
optional,186
id,186
integer,185
deployment,183
fail,183
second,182
64,181
sent,180
purpose,180
provided,180
scheme,180
process,179
original,179
send,179
h,178
policy,178
bob,178
types,177
