id,status,compliance_score
1,Closed,35.29
2,Closed,52.94
8,Draft,76.47
9,Deployed,70.59
10,Closed,52.94
11,Deployed,58.82
12,Closed,70.59
13,Deployed,70.59
14,Deployed,41.18
15,Closed,35.29
16,Deployed,76.47
17,Closed,82.35
18,Complete,82.35
19,Closed,70.59
20,Closed,70.59
21,Closed,64.71
22,Deployed,76.47
23,Deployed,76.47
30,Deployed,70.59
31,Deployed,52.94
32,Deployed,58.82
33,Closed,58.82
34,Deployed,52.94
35,Deployed,52.94
36,Closed,70.59
37,Deployed,70.59
38,Draft,88.24
39,Deployed,70.59
42,Deployed,58.82
43,Deployed,47.06
44,Deployed,52.94
45,Complete,52.94
46,Draft,70.59
47,Deployed,52.94
48,Deployed,70.59
49,Deployed,70.59
50,Deployed,47.06
52,Draft,64.71
53,Draft,76.47
60,Closed,70.59
61,Deployed,58.82
62,Closed,64.71
64,Closed,52.94
65,Deployed,64.71
66,Deployed,64.71
67,Complete,70.59
68,Deployed,58.82
69,Complete,70.59
70,Deployed,58.82
71,Deployed,52.94
72,Deployed,58.82
73,Deployed,52.94
74,Closed,76.47
75,Deployed,70.59
78,Draft,52.94
79,Closed,70.59
80,Closed,58.82
81,Closed,58.82
83,Closed,70.59
84,Deployed,64.71
85,Deployed,76.47
86,Deployed,58.82
87,Complete,88.24
88,Complete,64.71
89,Draft,76.47
90,Deployed,76.47
91,Deployed,82.35
93,Draft,64.71
94,Deployed,88.24
98,Draft,70.59
99,Closed,58.82
100,Closed,64.71
101,Closed,58.82
102,Closed,52.94
103,Closed,70.59
104,Closed,70.59
105,Closed,76.47
106,Closed,58.82
107,Closed,70.59
109,Closed,70.59
110,Draft,82.35
111,Deployed,76.47
112,Deployed,76.47
113,Deployed,70.59
114,Closed,82.35
115,Closed,82.35
116,Draft,76.47
117,Draft,76.47
118,Draft,64.71
119,Draft,82.35
120,Closed,76.47
121,Closed,64.71
122,Draft,70.59
123,Deployed,64.71
124,Closed,70.59
125,Deployed,70.59
126,Draft,52.94
127,Draft,64.71
128,Draft,76.47
129,Complete,52.94
130,Deployed,64.71
131,Closed,64.71
132,Closed,64.71
133,Deployed,64.71
134,Closed,70.59
135,Closed,82.35
136,Draft,52.94
137,Deployed,76.47
140,Closed,76.47
141,Deployed,76.47
142,Closed,82.35
143,Deployed,76.47
144,Deployed,70.59
145,Deployed,76.47
146,Closed,64.71
147,Deployed,64.71
148,Deployed,82.35
149,Closed,88.24
150,Closed,82.35
151,Closed,82.35
152,Deployed,64.71
154,Closed,76.47
155,Deployed,58.82
156,Closed,70.59
157,Deployed,82.35
158,Deployed,76.47
159,Deployed,70.59
171,Closed,88.24
172,Draft,94.12
173,Deployed,58.82
174,Deployed,64.71
175,Closed,64.71
176,Draft,82.35
177,Draft,41.18
178,Draft,82.35
179,Draft,76.47
180,Closed,82.35
197,Draft,70.59
199,Closed,64.71
300,Draft,70.59
301,Draft,70.59
310,Draft,64.71
320,Draft,82.35
321,Complete,76.47
322,Draft,76.47
324,Deployed,47.06
325,Complete,76.47
326,Draft,64.71
327,Deployed,47.06
328,Complete,82.35
329,Draft,88.24
330,Draft,70.59
331,Draft,58.82
337,Draft,41.18
338,Closed,70.59
339,Deployed,64.71
340,Deployed,47.06
341,Deployed,64.71
342,Deployed,52.94
343,Deployed,82.35
345,Closed,64.71
347,Complete,88.24
350,Deployed,47.06
351,Draft,64.71
352,Complete,47.06
353,Complete,76.47
360,Draft,52.94
370,Deployed,64.71
371,Deployed,58.82
372,Draft,70.59
373,Complete,64.71
374,Draft,52.94
375,Draft,64.71
380,Deployed,76.47
381,Deployed,76.47
382,Deployed,76.47
383,Deployed,76.47
384,Deployed,76.47
385,Deployed,76.47
386,Deployed,76.47
387,Deployed,76.47
388,Complete,76.47
389,Draft,76.47
390,Draft,82.35
392,Draft,76.47
431,Draft,52.94
433,Draft,52.94
443,Draft,58.82
