id,unique_terms,total_terms
1,632,1483
10,375,583
100,241,574
101,479,970
102,99,138
103,337,547
104,249,444
105,239,388
106,225,494
107,303,571
109,266,460
11,214,375
110,1019,2452
111,187,322
112,601,1459
113,238,435
114,662,2209
115,334,638
116,510,1084
117,558,1423
118,630,1855
119,1086,3129
12,253,508
120,365,776
121,262,631
122,231,397
123,666,1766
124,239,644
125,369,829
126,266,682
127,452,942
128,624,1563
129,687,2459
13,203,327
130,140,241
131,215,423
132,329,715
133,210,342
134,519,1007
135,561,1539
136,688,3665
137,369,853
14,375,655
140,483,1314
141,772,2539
142,321,617
143,649,2161
144,264,472
145,269,550
146,279,783
147,191,354
148,225,440
149,149,265
15,720,1632
150,344,1060
151,444,1006
152,749,2693
154,835,2933
155,353,941
156,544,1526
157,620,1965
158,593,1731
159,165,328
16,384,780
17,312,635
171,419,1220
172,373,755
173,752,2024
174,1201,6104
175,356,965
176,206,353
177,448,971
178,182,361
179,110,187
18,373,777
180,343,862
19,178,347
197,337,1118
199,202,341
2,1056,3178
20,367,828
21,320,573
22,462,1104
23,466,1228
30,219,367
300,656,1708
301,300,656
31,189,262
310,367,1095
32,709,2556
320,206,355
321,471,1290
322,391,955
324,1567,6049
325,381,752
326,364,781
327,1270,7368
328,186,364
329,467,1088
33,341,581
330,667,1984
331,801,2520
337,315,1052
338,253,524
339,138,271
34,147,227
340,1183,4016
341,1289,4117
342,753,2239
343,235,420
345,1110,4000
347,612,1301
35,113,167
350,804,2542
351,566,1501
352,1240,5298
353,651,1654
36,382,932
360,1115,3604
37,611,1622
370,516,2477
371,400,1452
372,365,774
373,642,2495
374,284,914
375,304,1233
38,904,2678
380,492,1747
381,153,515
382,148,526
383,224,577
384,141,309
385,105,289
386,196,555
387,193,490
388,770,2843
389,227,809
39,301,531
390,237,764
392,203,665
42,314,409
43,150,221
431,799,2736
433,245,407
44,244,666
443,619,1926
45,305,856
46,484,1090
47,654,2231
48,215,678
49,233,501
50,363,639
52,955,2207
53,465,1260
60,245,412
61,224,424
62,425,1065
64,267,440
65,519,1075
66,338,841
67,268,545
68,454,1322
69,471,982
70,538,1432
71,64,111
72,130,237
73,181,396
74,261,519
75,759,2628
78,805,3097
79,478,943
8,558,1413
80,163,272
81,156,264
83,248,521
84,199,418
85,686,2000
86,214,445
87,402,1196
88,452,1257
89,814,3325
9,509,1197
90,296,609
91,288,634
93,938,3502
94,431,941
98,698,1913
99,711,1543
