author,degree,betweenness,closeness,eigenvector
Pieter Wuille,0.09375,0.061242138364779874,0.1380625,0.5511518361494987
Antoine Poinsot,0.043750000000000004,0.024371069182389935,0.1170021186440678,0.2996775388999817
Ava Chow,0.037500000000000006,0.013522012578616351,0.11134072580645162,0.2877165558848776
Andrew Poelstra,0.03125,0.0036163522012578613,0.10871062992125985,0.2695581831627411
Sanket Kanjalkar,0.025,0.0,0.107861328125,0.2617062123829985
Tim Ruffing,0.03125,0.0019261006289308176,0.09932553956834533,0.2198861138527703
Jonas Schnelli,0.03125,0.007075471698113207,0.09932553956834533,0.192978388723591
Peter Todd,0.03125,0.009512578616352201,0.1053912213740458,0.19258379912150117
Jonas Nick,0.025,0.0019261006289308176,0.09932553956834533,0.18461338535111094
Dhruv Mehta,0.018750000000000003,0.0,0.09791666666666667,0.1791693257320271
Rusty Russell,0.025,0.0036163522012578613,0.10151654411764706,0.17608426779279085
Greg Maxwell,0.018750000000000003,0.0,0.10077554744525549,0.17095510232187422
Eric Lombrozo,0.03125,0.02751572327044025,0.10871062992125985,0.15058195646299327
Anthony Towns,0.025,0.010534591194968553,0.10004528985507247,0.1470909007144023
Johnson Lau,0.0125,0.0,0.10151654411764706,0.13042224017897308
Gleb Naumenko,0.00625,0.0,0.09456335616438356,0.10243550746182532
Matt Corallo,0.03125,0.014386792452830187,0.09265939597315437,0.10220831536814781
josibake,0.025,0.0034591194968553456,0.08367424242424243,0.08297919216218361
Andrew Toth,0.025,0.0034591194968553456,0.08367424242424243,0.08297919216218361
Elliott Jin,0.0125,0.0,0.0767013888888889,0.07517912261434362
Steven Roose,0.018750000000000003,0.010377358490566037,0.08793789808917198,0.071146535259711
Gregory Sanders,0.0125,0.0,0.08628906250000001,0.06892030421414794
Mark Friedenbach,0.037500000000000006,0.015172955974842767,0.08628906250000001,0.051134741687752845
Leon Olsson Curr and Pearlwort Sneed,0.00625,0.0,0.07980491329479768,0.050099314692790504
BtcDrak,0.03125,0.004795597484276729,0.08470092024539877,0.049507120703499496
Велеслав,0.0125,0.0,0.07503396739130436,0.0440542006480574
Daniel Pape,0.0125,0.0,0.07503396739130436,0.0440542006480574
Ruben Somsen,0.018750000000000003,0.0,0.06605861244019139,0.03788592085679138
Sebastian Falbesoner,0.018750000000000003,0.0,0.06605861244019139,0.03788592085679138
David A. Harding,0.00625,0.0,0.07800141242937854,0.035793075334300775
Julian Moik,0.00625,0.0,0.07585851648351649,0.032726519525748086
Karl-Johan Alm,0.0125,0.0036163522012578613,0.07585851648351649,0.02831601161660152
William Swanson,0.00625,0.0,0.07980491329479768,0.027986732717147748
Christian Decker,0.00625,0.0,0.07503396739130436,0.027337895058032233
Nicolas Dorier,0.018750000000000003,0.0,0.06767769607843137,0.022975094924898486
kinoshitajona,0.018750000000000003,0.0,0.06767769607843137,0.022975094924898486
Mike Hearn,0.0125,0.0036163522012578613,0.07153497409326426,0.019675804765769356
Nils Schneider,0.00625,0.0,0.07080128205128206,0.01899614582562073
Bastien Teinturier,0.00625,0.0,0.07080128205128206,0.01899614582562073
Kalle Alm,0.0125,0.0,0.06734756097560976,0.018705009345473433
Brandon Black,0.018750000000000003,0.007154088050314465,0.0693781407035176,0.014204414771673536
Thomas Kerin,0.018750000000000003,0.007075471698113207,0.06834777227722773,0.01038499736920457
Oliver Gugger,0.00625,0.0,0.06055372807017544,0.005262733114536419
Gavin Andresen,0.00625,0.0,0.057766736401673645,0.003656888925531374
Jeremy Rubin,0.00625,0.0,0.05635204081632653,0.0026399919947648503
moonsettler,0.00625,0.0,0.05635204081632653,0.0026399919947648503
Jean-Pierre Rupp,0.0125,0.0,0.05589574898785425,0.002370746076068603
Ruben de Vries,0.0125,0.0,0.05589574898785425,0.002370746076068603
Brad Denby,0.03125,0.0,0.03125,0.0002074240993529652
Andrew Miller,0.03125,0.0,0.03125,0.0002074240993529652
Giulia Fanti,0.03125,0.0,0.03125,0.0002074240993529652
Surya Bakshi,0.03125,0.0,0.03125,0.0002074240993529652
Shaileshh Bojja Venkatakrishnan,0.03125,0.0,0.03125,0.0002074240993529652
Pramod Viswanath,0.03125,0.0,0.03125,0.0002074240993529652
Jameson Lopp,0.03125,0.0,0.03125,0.0002074240993529652
Christian Papathanasiou,0.03125,0.0,0.03125,0.0002074240993529652
Ian Smith,0.03125,0.0,0.03125,0.0002074240993529652
Joe Ross,0.03125,0.0,0.03125,0.0002074240993529652
Steve Vaile,0.03125,0.0,0.03125,0.0002074240993529652
Pierre-Luc Dallaire-Demers,0.03125,0.0,0.03125,0.0002074240993529652
Hugo Nguyen,0.025,0.0,0.025,2.3408760034087565e-13
Peter Gray,0.025,0.0,0.025,2.3408760034087565e-13
Marko Bencun,0.025,0.0,0.025,2.3408760034087565e-13
Aaron Chen,0.025,0.0,0.025,2.3408760034087565e-13
Rodolfo Novak,0.025,0.0,0.025,2.3408760034087565e-13
Aaron Voisine,0.043750000000000004,0.0014937106918238993,0.044444444444444446,1.5182020915484672e-15
Sean Bowe,0.025,0.000550314465408805,0.03333333333333333,9.437133712926362e-16
Marek Palatinus,0.018750000000000003,0.0,0.03076923076923077,8.910579251442739e-16
Pavol Rusnak,0.018750000000000003,0.0,0.03076923076923077,8.910579251442739e-16
Justin Newton,0.018750000000000003,0.0,0.02857142857142857,8.611894924783188e-16
Matt David,0.018750000000000003,0.0,0.02857142857142857,8.611894924783188e-16
James MacWhyte,0.018750000000000003,0.0,0.02857142857142857,8.611894924783188e-16
Mike Caldwell,0.00625,0.0,0.025,4.0346458176266736e-16
Daira Hopwood,0.00625,0.0,0.021052631578947368,2.507933052997412e-16
Ethan Heilman,0.018750000000000003,0.00015723270440251572,0.01875,1.2046195955874493e-35
Hunter Beast,0.0125,0.0,0.014062499999999999,1.0295132961162489e-35
Isabel Foxen Duke,0.0125,0.0,0.014062499999999999,1.0295132961162489e-35
