id,status,compliance_score
1,Replaced,41.18
2,Active,58.82
8,Draft,82.35
9,Final,76.47
10,Withdrawn,58.82
11,Final,64.71
12,Withdrawn,76.47
13,Final,76.47
14,Final,47.06
15,Deferred,41.18
16,Final,82.35
17,Withdrawn,88.24
18,Proposed,88.24
19,Rejected,76.47
20,Replaced,76.47
21,Replaced,70.59
22,Final,82.35
23,Final,82.35
30,Final,76.47
31,Final,58.82
32,Final,64.71
33,Rejected,64.71
34,Final,58.82
35,Final,58.82
36,Rejected,76.47
37,Final,70.59
38,"Draft (Some confusion applies: The announcements for this never made it to the list, so it hasn't had public discussion)",88.24
39,Final,70.59
42,Final,58.82
43,Final,52.94
44,Final,52.94
45,Proposed,58.82
46,Draft,76.47
47,Final,52.94
48,Final,76.47
49,Final,70.59
50,Final,52.94
52,Draft,70.59
53,Draft,82.35
60,Rejected,70.59
61,Final,58.82
62,Withdrawn,70.59
64,Obsolete,58.82
65,Final,70.59
66,Final,70.59
67,Proposed,76.47
68,Final,64.71
69,Proposed,76.47
70,Final,64.71
71,Final,58.82
72,Final,64.71
73,Final,58.82
74,Rejected,76.47
75,Final,70.59
78,Draft,58.82
79,Replaced,76.47
80,Deferred,64.71
81,Deferred,64.71
83,Rejected,76.47
84,Final,64.71
85,Final,82.35
86,Final,64.71
87,Proposed,94.12
88,Proposed,70.59
90,Final,76.47
91,Final,88.24
93,Draft,70.59
94,Final,94.12
98,Draft,76.47
99,Rejected,64.71
100,Rejected,70.59
101,Withdrawn,64.71
102,Rejected,58.82
103,Withdrawn,76.47
104,Rejected,76.47
105,Rejected,82.35
106,Rejected,64.71
107,Rejected,76.47
109,Rejected,76.47
111,Final,82.35
112,Final,82.35
113,Final,76.47
114,Rejected,88.24
115,Rejected,88.24
116,Draft,82.35
117,Draft,82.35
118,Draft,64.71
119,Draft,88.24
120,Withdrawn,82.35
121,Withdrawn,70.59
122,Draft,76.47
123,Active,70.59
124,Rejected,76.47
125,Final,70.59
126,Draft,58.82
127,Draft,70.59
129,Proposed,58.82
130,Final,70.59
131,Rejected,70.59
132,Withdrawn,70.59
133,Final,70.59
134,Rejected,82.35
135,Rejected,88.24
136,Draft,58.82
137,Final,82.35
140,Rejected,82.35
141,Final,82.35
142,Withdrawn,88.24
143,Final,82.35
144,Final,76.47
145,Final,82.35
146,Withdrawn,70.59
147,Final,70.59
148,Final,88.24
149,Withdrawn,94.12
150,Deferred,82.35
151,Replaced,82.35
152,Final,64.71
154,Withdrawn,82.35
155,Final,64.71
156,Rejected,76.47
157,Final,88.24
158,Final,82.35
159,Final,76.47
171,Rejected,88.24
172,Draft,94.12
173,Final,58.82
174,Final,64.71
175,Rejected,70.59
176,Draft,82.35
177,Draft,47.06
178,Draft,82.35
179,Draft,82.35
180,Rejected,88.24
197,Draft,76.47
199,Rejected,64.71
300,Draft,76.47
301,Draft,76.47
310,Draft,70.59
320,Draft,88.24
321,Proposed,82.35
322,Draft,76.47
324,Final,52.94
325,Proposed,82.35
326,Draft,70.59
327,Final,52.94
328,Proposed,88.24
329,Draft,94.12
330,Draft,76.47
331,Draft,64.71
337,Draft,47.06
338,Withdrawn,76.47
339,Final,70.59
340,Final,47.06
341,Final,64.71
342,Final,58.82
343,Final,88.24
345,Withdrawn,70.59
347,Draft,94.12
350,Final,52.94
351,Draft,70.59
352,Proposed,52.94
353,Proposed,82.35
370,Final,70.59
371,Final,64.71
372,Draft,76.47
373,Proposed,70.59
374,Draft,58.82
375,Draft,70.59
380,Final,82.35
381,Final,82.35
382,Final,82.35
383,Final,82.35
384,Final,82.35
385,Final,82.35
386,Final,82.35
387,Final,82.35
388,Proposed,82.35
389,Draft,82.35
390,Draft,88.24
431,Draft,58.82
443,Draft,64.71
