source,target,extraction_method,relation_type,value
bips:1,bips:2,body_extracted_regex,reference,1
bips:1,bips:8,body_extracted_regex,reference,1
bips:2,bips:1,body_extracted_regex,reference,12
bips:2,bips:9,body_extracted_regex,reference,1
bips:2,bips:123,body_extracted_regex,reference,6
bips:3,bips:1,body_extracted_regex,reference,3
bips:3,bips:2,body_extracted_regex,reference,17
bips:3,bips:50,body_extracted_regex,reference,2
bips:3,bips:123,body_extracted_regex,reference,6
bips:8,bips:9,body_extracted_regex,reference,9
bips:8,bips:16,body_extracted_regex,reference,1
bips:8,bips:34,body_extracted_regex,reference,2
bips:8,bips:65,body_extracted_regex,reference,2
bips:8,bips:66,body_extracted_regex,reference,2
bips:8,bips:68,body_extracted_regex,reference,1
bips:8,bips:112,body_extracted_regex,reference,1
bips:9,bips:16,body_extracted_regex,reference,1
bips:9,bips:34,body_extracted_regex,reference,7
bips:9,bips:65,body_extracted_regex,reference,4
bips:9,bips:66,body_extracted_regex,reference,4
bips:9,bips:68,body_extracted_regex,reference,1
bips:9,bips:112,body_extracted_regex,reference,1
bips:9,bips:113,body_extracted_regex,reference,1
bips:9,bips:141,body_extracted_regex,reference,1
bips:10,bips:125,body_extracted_regex,reference,1
bips:12,bips:11,body_extracted_regex,reference,1
bips:13,bips:12,body_extracted_regex,reference,2
bips:13,bips:16,body_extracted_regex,reference,2
bips:13,bips:17,body_extracted_regex,reference,2
bips:15,bips:70,body_extracted_regex,reference,2
bips:16,bips:11,body_extracted_regex,reference,2
bips:16,bips:12,body_extracted_regex,reference,1
bips:16,bips:13,body_extracted_regex,reference,2
bips:17,bips:11,body_extracted_regex,reference,2
bips:17,bips:12,body_extracted_regex,reference,2
bips:17,bips:13,body_extracted_regex,reference,2
bips:17,bips:16,body_extracted_regex,reference,1
bips:18,bips:11,body_extracted_regex,reference,2
bips:18,bips:12,body_extracted_regex,reference,1
bips:18,bips:13,body_extracted_regex,reference,2
bips:18,bips:16,body_extracted_regex,reference,3
bips:18,bips:17,body_extracted_regex,reference,1
bips:19,bips:11,body_extracted_regex,reference,2
bips:20,bips:21,body_extracted_regex,reference,1
bips:21,bips:20,body_extracted_regex,reference,4
bips:21,bips:321,body_extracted_regex,reference,4
bips:22,bips:16,body_extracted_regex,reference,2
bips:22,bips:23,body_extracted_regex,reference,6
bips:22,bips:34,body_extracted_regex,reference,4
bips:23,bips:22,body_extracted_regex,reference,9
bips:32,bips:39,body_extracted_regex,reference,2
bips:39,bips:32,body_extracted_regex,reference,4
bips:42,bips:16,body_extracted_regex,reference,1
bips:42,bips:34,body_extracted_regex,reference,1
bips:42,bips:62,body_extracted_regex,reference,1
bips:43,bips:32,body_extracted_regex,reference,13
bips:43,bips:44,body_extracted_regex,reference,1
bips:44,bips:32,body_extracted_regex,reference,8
bips:44,bips:43,body_extracted_regex,reference,6
bips:44,slips:44,body_extracted_regex,reference,2
bips:45,bips:32,body_extracted_regex,reference,8
bips:45,bips:43,body_extracted_regex,reference,6
bips:45,bips:44,body_extracted_regex,reference,1
bips:46,bips:32,body_extracted_regex,reference,5
bips:46,bips:44,body_extracted_regex,reference,2
bips:46,bips:49,body_extracted_regex,reference,5
bips:46,bips:65,body_extracted_regex,reference,2
bips:46,bips:84,body_extracted_regex,reference,4
bips:46,bips:86,body_extracted_regex,reference,3
bips:47,bips:32,body_extracted_regex,reference,4
bips:47,bips:43,body_extracted_regex,reference,4
bips:47,bips:44,body_extracted_regex,reference,9
bips:48,bips:32,body_extracted_regex,reference,8
bips:48,bips:43,body_extracted_regex,reference,6
bips:48,bips:44,body_extracted_regex,reference,6
bips:48,bips:67,body_extracted_regex,reference,5
bips:49,bips:16,body_extracted_regex,reference,4
bips:49,bips:32,body_extracted_regex,reference,4
bips:49,bips:43,body_extracted_regex,reference,2
bips:49,bips:44,body_extracted_regex,reference,7
bips:49,bips:141,body_extracted_regex,reference,8
bips:49,slips:132,body_extracted_regex,reference,2
bips:53,bips:2,body_extracted_regex,reference,3
bips:53,bips:37,body_extracted_regex,reference,4
bips:53,bips:64,body_extracted_regex,reference,1
bips:53,bips:66,body_extracted_regex,reference,2
bips:53,bips:141,body_extracted_regex,reference,2
bips:54,bips:16,body_extracted_regex,reference,4
bips:54,bips:30,body_extracted_regex,reference,14
bips:54,bips:34,body_extracted_regex,reference,16
bips:54,bips:94,body_extracted_regex,reference,3
bips:60,bips:14,body_extracted_regex,reference,1
bips:60,bips:37,body_extracted_regex,reference,4
bips:62,bips:34,body_extracted_regex,reference,1
bips:65,bips:9,body_extracted_regex,reference,1
bips:65,bips:66,body_extracted_regex,reference,1
bips:66,bips:34,body_extracted_regex,reference,1
bips:66,bips:62,body_extracted_regex,reference,2
bips:67,bips:11,body_extracted_regex,reference,3
bips:67,bips:16,body_extracted_regex,reference,4
bips:67,bips:45,body_extracted_regex,reference,2
bips:68,bips:9,body_extracted_regex,reference,7
bips:68,bips:112,body_extracted_regex,reference,6
bips:68,bips:113,body_extracted_regex,reference,4
bips:69,bips:30,body_extracted_regex,reference,1
bips:70,bips:71,body_extracted_regex,reference,3
bips:70,bips:72,body_extracted_regex,reference,2
bips:72,bips:21,body_extracted_regex,reference,2
bips:72,bips:70,body_extracted_regex,reference,2
bips:73,bips:70,body_extracted_regex,reference,6
bips:74,bips:70,body_extracted_regex,reference,6
bips:75,bips:32,body_extracted_regex,reference,2
bips:75,bips:70,body_extracted_regex,reference,27
bips:77,bips:21,body_extracted_regex,reference,6
bips:77,bips:78,body_extracted_regex,reference,30
bips:77,bips:174,body_extracted_regex,reference,1
bips:77,bips:321,body_extracted_regex,reference,2
bips:77,bips:324,body_extracted_regex,reference,4
bips:78,bips:21,body_extracted_regex,reference,20
bips:78,bips:79,body_extracted_regex,reference,5
bips:79,bips:21,body_extracted_regex,reference,1
bips:79,bips:69,body_extracted_regex,reference,1
bips:79,bips:125,body_extracted_regex,reference,1
bips:80,bips:32,body_extracted_regex,reference,7
bips:80,bips:43,body_extracted_regex,reference,6
bips:80,bips:44,body_extracted_regex,reference,4
bips:81,bips:32,body_extracted_regex,reference,8
bips:81,bips:43,body_extracted_regex,reference,6
bips:81,bips:44,body_extracted_regex,reference,3
bips:81,bips:80,body_extracted_regex,reference,2
bips:83,bips:32,body_extracted_regex,reference,6
bips:83,bips:44,body_extracted_regex,reference,1
bips:83,bips:45,body_extracted_regex,reference,1
bips:84,bips:32,body_extracted_regex,reference,4
bips:84,bips:43,body_extracted_regex,reference,2
bips:84,bips:44,body_extracted_regex,reference,5
bips:84,bips:49,body_extracted_regex,reference,7
bips:84,bips:141,body_extracted_regex,reference,4
bips:84,bips:173,body_extracted_regex,reference,4
bips:84,slips:132,body_extracted_regex,reference,2
bips:85,bips:32,body_extracted_regex,reference,36
bips:85,bips:39,body_extracted_regex,reference,26
bips:85,bips:44,body_extracted_regex,reference,1
bips:86,bips:32,body_extracted_regex,reference,4
bips:86,bips:43,body_extracted_regex,reference,2
bips:86,bips:44,body_extracted_regex,reference,5
bips:86,bips:49,body_extracted_regex,reference,6
bips:86,bips:84,body_extracted_regex,reference,4
bips:86,bips:341,body_extracted_regex,reference,8
bips:87,bips:32,body_extracted_regex,reference,8
bips:87,bips:39,body_extracted_regex,reference,1
bips:87,bips:43,body_extracted_regex,reference,7
bips:87,bips:44,body_extracted_regex,reference,9
bips:87,bips:45,body_extracted_regex,reference,4
bips:87,bips:49,body_extracted_regex,reference,3
bips:87,bips:67,body_extracted_regex,reference,5
bips:87,bips:84,body_extracted_regex,reference,3
bips:87,bips:129,body_extracted_regex,reference,4
bips:87,bips:174,body_extracted_regex,reference,5
bips:88,bips:32,body_extracted_regex,reference,10
bips:88,bips:43,body_extracted_regex,reference,1
bips:88,bips:44,body_extracted_regex,reference,2
bips:88,bips:45,body_extracted_regex,reference,1
bips:88,bips:49,body_extracted_regex,reference,2
bips:88,bips:84,body_extracted_regex,reference,2
bips:89,bips:3,body_extracted_regex,reference,1
bips:89,bips:32,body_extracted_regex,reference,7
bips:89,bips:340,body_extracted_regex,reference,9
bips:89,bips:341,body_extracted_regex,reference,2
bips:90,bips:9,body_extracted_regex,reference,5
