author,degree,betweenness,closeness,eigenvector
Pieter Wuille,0.09493670886075949,0.05884329060173614,0.13981012658227845,0.5496913716588355
Antoine Poinsot,0.04430379746835443,0.027694912521164235,0.12052597119161937,0.29840087283658173
Ava Chow,0.0379746835443038,0.01386761267435298,0.1136667695790882,0.28599156079938526
Andrew Poelstra,0.03164556962025317,0.0037087801338385874,0.11096041792244324,0.2680209201585791
Sanket Kanjalkar,0.02531645569620253,0.0,0.11008671384431376,0.2602334719973931
Tim Ruffing,0.03164556962025317,0.0018812652852804427,0.10058282487933703,0.2189183039151978
Jonas Schnelli,0.03164556962025317,0.00725630895751028,0.10058282487933703,0.19198803854539523
Peter Todd,0.03164556962025317,0.009554140127388535,0.10672528746738814,0.19155473190656094
Jonas Nick,0.02531645569620253,0.002069391813808487,0.10058282487933703,0.18463523346588673
Dhruv Mehta,0.0189873417721519,0.0,0.0991561181434599,0.17828887799891374
Rusty Russell,0.02531645569620253,0.0037087801338385874,0.10280156366344005,0.17518058349304755
Gregory Maxwell,0.0189873417721519,0.0,0.10205118728633465,0.17009064606580762
Eric Lombrozo,0.03164556962025317,0.023099250181407724,0.11008671384431376,0.1543814809825573
Anthony Towns,0.02531645569620253,0.009715391437555431,0.10672528746738814,0.15128103912560165
Johnson Lau,0.012658227848101266,0.0,0.10205118728633465,0.13067734503407533
Gleb Naumenko,0.006329113924050633,0.0,0.09576036067279348,0.10202383001564495
Matt Corallo,0.03164556962025317,0.01483512053535435,0.09510892964780848,0.10155689467227644
josibake,0.02531645569620253,0.0035475288236716924,0.08525007718431614,0.08226969148171243
Andrew Toth,0.02531645569620253,0.0035475288236716924,0.08525007718431614,0.08226969148171243
Elliott Jin,0.012658227848101266,0.0,0.07767229254571026,0.07490035249367773
Steven Roose,0.0189873417721519,0.010642586471015077,0.090785796481999,0.07120462760803803
Gregory Sanders,0.0189873417721519,0.0037087801338385874,0.08962187601428107,0.07104696179137955
Mark Friedenbach,0.0379746835443038,0.014163240076325618,0.08962187601428107,0.06237261023665888
BtcDrak,0.03164556962025317,0.003520653605310543,0.08793089722155878,0.06039286908981014
Karl-Johan Alm,0.02531645569620253,0.005307855626326964,0.08793089722155878,0.052678254252448604
Leon Olsson Curr and Pearlwort Sneed,0.006329113924050633,0.0,0.08128495731527817,0.049745224700137515
Велеслав,0.012658227848101266,0.0,0.07598376444689048,0.04375424436110764
Daniel Pape,0.012658227848101266,0.0,0.07598376444689048,0.04375424436110764
Ruben Somsen,0.0189873417721519,0.0,0.0672164070107108,0.037498671395120586
Sebastian Falbesoner,0.0189873417721519,0.0,0.0672164070107108,0.037498671395120586
David A. Harding,0.006329113924050633,0.0,0.07898877208038331,0.03555294555152087
Julian Moik,0.006329113924050633,0.0,0.07681875086938378,0.03251387049864182
William Swanson,0.006329113924050633,0.0,0.08081510207068118,0.02865351501843039
Christian Decker,0.006329113924050633,0.0,0.07898877208038331,0.02807806674091254
Nicolas Dorier,0.0189873417721519,0.0,0.06990506329113923,0.02797836168469914
kinoshitajona,0.0189873417721519,0.0,0.06990506329113923,0.02797836168469914
Mike Hearn,0.012658227848101266,0.0037087801338385874,0.07319901915302537,0.019521648911481757
Nils Schneider,0.006329113924050633,0.0,0.0724404800944448,0.018849164991790582
Bastien Teinturier,0.006329113924050633,0.0,0.0724404800944448,0.018849164991790582
Brandon Black,0.0189873417721519,0.007336934612593727,0.07133169723585636,0.014193608869278977
James O'Beirne,0.006329113924050633,0.0,0.069212933951623,0.013186459760242445
Thomas Kerin,0.0189873417721519,0.00725630895751028,0.07061117504155479,0.012646333710309689
Oliver Gugger,0.006329113924050633,0.0,0.06820006174745291,0.009777190500833394
Gavin Andresen,0.006329113924050633,0.0,0.058991614591678676,0.0036232575093178587
Jean-Pierre Rupp,0.012658227848101266,0.0,0.05753503151534094,0.00288211067535961
Ruben de Vries,0.012658227848101266,0.0,0.05753503151534094,0.00288211067535961
Jeremy Rubin,0.006329113924050633,0.0,0.05777277957945391,0.0026343625045775936
moonsettler,0.006329113924050633,0.0,0.05777277957945391,0.0026343625045775936
Brad Denby,0.03164556962025317,0.0,0.03164556962025317,0.00020396803007896903
Andrew Miller,0.03164556962025317,0.0,0.03164556962025317,0.00020396803007896903
Giulia Fanti,0.03164556962025317,0.0,0.03164556962025317,0.00020396803007896903
Surya Bakshi,0.03164556962025317,0.0,0.03164556962025317,0.00020396803007896903
Shaileshh Bojja Venkatakrishnan,0.03164556962025317,0.0,0.03164556962025317,0.00020396803007896903
Pramod Viswanath,0.03164556962025317,0.0,0.03164556962025317,0.00020396803007896903
Jameson Lopp,0.03164556962025317,0.0,0.03164556962025317,0.00020396803007896903
Christian Papathanasiou,0.03164556962025317,0.0,0.03164556962025317,0.00020396803007896903
