source,target,count
Deployed,Specification,59
Closed,Specification,44
Draft,Specification,40
Applications,Deployed,35
Applications,Draft,28
Consensus (soft fork),Draft,20
Draft,Informational,17
Complete,Specification,17
Deployed,Informational,16
Applications,Closed,16
Peer Services,Deployed,16
Consensus (soft fork),Deployed,16
Applications,Complete,15
Consensus (hard fork),Closed,12
Consensus (soft fork),Closed,10
Peer Services,Closed,10
Closed,Informational,8
Other,Closed,7
Other,Deployed,7
Other,Draft,6
Consensus (soft fork),Complete,4
Complete,Informational,4
Closed,Process,3
API/RPC,Deployed,3
Deployed,Process,2
Peer Services,Draft,2
Other,Complete,1
API/RPC,Draft,1
Peer Services,Complete,1
