word,count
code,4654
tt,3424
bip,3341
0,2515
key,2391
1,2372
bitcoin,2216
sub,2200
transaction,1960
2,1591
pre,1409
s,1382
block,1376
https,1328
script,1312
public,1073
byte,1031
bytes,1030
com,1019
output,1013
transactions,1004
hash,951
version,907
use,875
data,863
new,847
input,843
signature,834
ref,817
message,795
x,768
address,764
mediawiki,742
keys,731
value,723
number,696
size,692
3,670
type,662
github,657
payment,656
32,646
set,632
witness,630
time,611
outputs,568
specification,558
p,537
n,535
m,532
org,527
inputs,526
b,522
4,518
wallet,497
bips,489
following,487
protocol,476
bit,476
implementation,475
length,453
blocks,452
g,451
e,446
case,437
t,434
proposal,423
stack,421
path,419
bits,417
peer,415
non,411
network,406
string,401
consensus,388
master,384
valid,381
license,379
private,378
node,376
index,375
k,374
psbt,372
user,371
derivation,362
wallets,358
signatures,357
return,356
let,346
example,342
standard,342
format,339
chain,336
order,332
addresses,329
change,328
field,327
messages,327
nodes,319
defined,317
spend,317
scripts,315
style,314
rules,312
proof,306
sup,306
sender,302
taproot,301
single,298
tree,293
blob,290
receiver,289
possible,286
required,285
list,277
support,277
8,277
5,274
c,270
fork,267
r,267
based,261
encoded,261
sha256,261
information,259
different,256
invalid,251
request,250
fee,248
reference,246
signing,241
values,240
future,240
signer,240
hex,239
fail,238
header,237
clients,236
software,235
secret,235
test,233
bsd,225
allow,225
clause,224
existing,220
users,219
algorithm,218
merkle,216
client,215
y,214
allows,213
encoding,213
pubkey,213
funds,211
spending,211
descriptor,210
document,208
height,208
v,207
peers,205
nonce,203
soft,202
template,202
h,202
server,201
optional,200
64,200
process,199
original,199
limit,199
instead,198
multiple,196
pk,196
scriptpubkey,195
id,194
comments,193
way,193
deployment,193
text,190
implementations,190
given,190
checksum,190
color,189
point,188
u,187
filter,187
additional,186
background,186
compatibility,185
specified,185
integer,184
policy,181
recovery,180
types,179
extended,178
need,176
second,176
bob,176
d,173
characters,173
