ip	reviewer	reviewed_at	sampling_strategy	sampling_snapshot	sampling_seed	era_bucket	density_bucket	density_basis	created	status	type	layer	title	extracted_target_count	note
bips:12	rbo	2026-06-23	sampler	2026-05-28	42	early	low	llm_only	2011-10-18	Closed	Specification	Consensus (soft fork)	OP_EVAL	1	
bips:14	rbo	2026-06-23	sampler	2026-05-28	42	early	none	llm_only	2011-11-10	Deployed	Specification	Peer Services	Protocol Version and User Agent	0	
bips:18	rbo	2026-06-23	sampler	2026-05-28	42	early	high	llm_only	2012-01-27	Complete	Specification	Consensus (soft fork)	hashScriptCheck	5	
bips:20	rbo	2026-06-23	sampler	2026-05-28	42	early	none	llm_only	2011-01-10	Closed	Specification	Applications	URI Scheme	0	
bips:22	rbo	2026-06-26	sampler	2026-05-28	42	early	low	llm_only	2012-02-28	Deployed	Specification	API/RPC	getblocktemplate - Fundamentals	3	
bips:30	rbo	2026-06-26	sampler	2026-05-28	42	early	none	llm_only	2012-02-22	Deployed	Specification	Consensus (soft fork)	Duplicate transactions	0	
bips:31	rbo	2026-06-22	manual	-	-	-	-	-	2012-04-11	Deployed	Specification	Peer Services	Pong message	1	
bips:39	rbo	2026-06-22	manual	-	-	-	-	-	2013-09-10	Deployed	Specification	Applications	Mnemonic code for generating deterministic keys	1	
bips:43	rbo	2026-06-22	manual	-	-	-	-	-	2014-04-24	Deployed	Specification	Applications	Purpose Field for Deterministic Wallets	2	
bips:44	rbo	2026-06-22	sampler	2026-05-28	42	early	low	llm_only	2014-04-24	Deployed	Specification	Applications	Multi-Account Hierarchy for Deterministic Wallets	2	
bips:49	rbo	2026-06-22	sampler	2026-05-28	42	middle	high	llm_only	2016-05-19	Deployed	Specification	Applications	Derivation scheme for P2WPKH-nested-in-P2SH based accounts	6	
bips:73	rbo		sampler	2026-05-28	42	early	low	llm_only	2013-08-27	Deployed	Specification	Applications	"Use ""Accept"" header for response type negotiation with Payment Request URLs"	1	
bips:74	rbo		sampler	2026-05-28	42	middle	low	llm_only	2016-01-29	Closed	Specification	Applications	Allow zero value OP_RETURN in Payment Protocol	1	
bips:77	rbo	2026-06-22	manual	-	-	-	-	-	2023-08-08	Draft	Specification	Applications	Async Payjoin	7	
bips:78	rbo	2026-06-22	manual	-	-	-	-	-	2019-05-01	Deployed	Specification	Applications	A Simple Payjoin Proposal	3	
bips:111	rbo		sampler	2026-05-28	42	early	low	llm_only	2015-08-20	Deployed	Specification	Peer Services	NODE_BLOOM service bit	1	
bips:112	rbo		sampler	2026-05-28	42	early	high	llm_only	2015-08-10	Deployed	Specification	Consensus (soft fork)	CHECKSEQUENCEVERIFY	4	
bips:113	rbo		sampler	2026-05-28	42	early	high	llm_only	2015-08-10	Deployed	Specification	Consensus (soft fork)	Median time-past as endpoint for lock-time calculations	4	
bips:114	rbo		sampler	2026-05-28	42	middle	high	llm_only	2016-04-02	Closed	Specification	Consensus (soft fork)	Merkelized Abstract Syntax Tree	4	
bips:119	rbo		sampler	2026-05-28	42	middle	high	llm_only	2020-01-06	Draft	Specification	Consensus (soft fork)	CHECKTEMPLATEVERIFY	4	
bips:122	rbo		sampler	2026-05-28	42	early	none	llm_only	2015-08-29	Draft	Specification	Applications	URI scheme for Blockchain references / exploration	0	
bips:128	rbo		sampler	2026-05-28	42	recent	high	llm_only	2026-02-05	Draft	Specification	Applications	Timelock-Recovery Storage Format	5	
bips:142	rbo		sampler	2026-05-28	42	middle	none	llm_only	2015-12-24	Closed	Specification	Applications	Address Format for Segregated Witness	0	
bips:145	rbo		sampler	2026-05-28	42	middle	high	llm_only	2016-01-30	Deployed	Specification	API/RPC	getblocktemplate Updates for Segregated Witness	4	
bips:158	rbo		sampler	2026-05-28	42	middle	low	llm_only	2017-05-24	Deployed	Specification	Peer Services	Compact Block Filters for Light Clients	3	
bips:197	rbo		sampler	2026-05-28	42	middle	low	llm_only	2019-03-19	Draft	Specification	Applications	Hashed Time-Locked Collateral Contract	1	
bips:320	rbo		sampler	2026-05-28	42	middle	none	llm_only	2018-03-01	Draft	Specification		nVersion bits for general purpose use	0	
bips:321	rbo	2026-06-22	manual	-	-	-	-	-	2024-11-15	Complete	Specification	Applications	URI Scheme	8	
bips:324	rbo	2026-06-22	manual	-	-	-	-	-	2019-03-08	Deployed	Specification	Peer Services	Version 2 P2P Encrypted Transport Protocol	3	
bips:330	rbo		sampler	2026-05-28	42	middle	none	llm_only	2019-09-25	Draft	Specification	Peer Services	Transaction announcements reconciliation	0	
bips:331	rbo		sampler	2026-05-28	42	recent	low	llm_only	2022-08-08	Draft	Specification	Peer Services	Ancestor Package Relay	3	
bips:347	rbo		sampler	2026-05-28	42	recent	none	llm_only	2023-12-11	Complete	Specification	Consensus (soft fork)	OP_CAT in Tapscript	0	
bips:353	rbo		sampler	2026-05-28	42	recent	high	llm_only	2024-02-10	Complete	Specification	Applications	DNS Payment Instructions	4	
bips:375	rbo		sampler	2026-05-28	42	recent	high	llm_only	2025-01-08	Draft	Specification	Applications	Sending Silent Payments with PSBTs	4	
bips:392	rbo		sampler	2026-05-28	42	recent	high	llm_only	2026-02-06	Draft	Specification	Applications	Silent Payment Output Script Descriptors	5	
bips:440	rbo		sampler	2026-05-28	42	recent	low	llm_only	2026-03-25	Draft	Specification	Consensus (soft fork)	Varops Budget For Script Runtime Constraint	1	
bips:443	rbo		sampler	2026-05-28	42	recent	none	llm_only	2025-05-08	Draft	Specification	Consensus (soft fork)	OP_CHECKCONTRACTVERIFY	0	
