word,count
https,839
sub,496
com,359
key,312
www,221
org,219
master,200
1,199
0,185
io,178
slip,161
bip,160
github,158
m,137
secret,135
2,119
bitcoin,118
chain,102
http,100
private,99
s,98
derivation,96
public,85
value,85
user,83
network,82
n,78
0039,77
sup,76
keys,75
shares,69
blob,68
account,67
code,66
deterministic,66
bytes,64
encryption,63
wallet,62
seed,61
h,60
0032,59
use,59
3,59
ownership,59
32,58
wallets,58
k,56
id,56
proof,54
credential,53
4,52
bits,51
t,51
index,50
scheme,50
example,49
length,49
data,48
input,48
node,48
string,48
group,47
256,46
mnemonic,45
bit,44
fingerprint,42
r,42
format,42
hmac,41
owner,41
x,41
satoshilabs,40
coin,40
byte,39
path,39
trezor,36
signature,36
child,35
test,35
passphrase,35
bips,35
mediawiki,35
identifier,35
share,35
c,34
b,34
br,33
abandon,33
le,33
curve,32
l,32
5,32
shared,32
hierarchy,31
number,30
g,30
type,30
hierarchical,30
member,30
e,29
transaction,29
set,29
specification,29
different,28
hex,28
device,28
following,28
version,28
scriptpubkey,28
derive,27
given,27
minus,27
y,27
function,25
16,25
level,25
new,25
values,24
encoding,24
active,24
field,24
sharing,24
extended,23
let,23
encrypted,23
case,23
0010,22
md,22
hd,22
encoded,22
p,21
symmetric,21
address,21
defined,21
multi,21
co,21
cbor,21
shamir,21
checksum,21
words,21
section,20
ed25519,20
iv,20
file,20
output,20
protocol,20
cardano,20
gt,20
threshold,20
vector,19
algorithm,19
hardware,19
d,19
true,19
info,19
gf,19
cash,19
role,19
sha512,18
step,18
python,18
registered,18
10,18
integer,18
net,18
order,17
standard,17
implementation,17
digest,17
able,17
derived,17
44,17
polynomial,17
roles,17
title,16
return,16
aes,16
encrypt,16
authentication,16
0044,16
accounts,16
design,16
nonce,16
generated,16
attacker,16
slips,16
f,16
par,15
xpub,15
p2sh,15
transactions,15
deriving,15
described,15
coinjoin,15
obtain,15
allows,15
fido2,15
authenticator,15
members,15
ems,15
