author,degree,betweenness,closeness,eigenvector
Pavol Rusnak,0.5714285714285714,0.08241758241758243,0.5714285714285714,0.43490194932229104
Ondřej Vejpustek,0.5,0.03846153846153846,0.5079365079365079,0.41251981592512926
Andrew Kozlik,0.42857142857142855,0.010989010989010988,0.45714285714285713,0.3891722219061298
Marek Palatinus,0.42857142857142855,0.02197802197802198,0.45714285714285713,0.3774849705815288
Tomas Susanka,0.3571428571428571,0.0,0.41558441558441556,0.3551028371843669
Jochen Hoenicke,0.3571428571428571,0.0,0.41558441558441556,0.35510283718436686
Stepan Snigirev,0.21428571428571427,0.0,0.3516483516483517,0.22299572175470553
Andrew R. Kozlik,0.14285714285714285,0.0,0.32653061224489793,0.152816484743482
Karel Bílek,0.14285714285714285,0.0,0.32653061224489793,0.14649830969483874
SatoshiLabs,0.0,0.0,0.0,1.5931693429665405e-08
Peter Jensen,0.0,0.0,0.0,1.5931693429665405e-08
Roman Zeyde,0.0,0.0,0.0,1.5931693429665405e-08
TBD,0.0,0.0,0.0,1.5931693429665405e-08
Fabian Schuh,0.0,0.0,0.0,1.5931693429665405e-08
Clark Moody,0.0,0.0,0.0,1.5931693429665405e-08
