source,target,extraction_method,relation_type,value
slips:10,slips:39,body_extracted_regex,reference,1
slips:11,slips:15,body_extracted_regex,reference,1
slips:11,slips:16,body_extracted_regex,reference,1
slips:13,slips:10,body_extracted_regex,reference,1
slips:15,slips:11,body_extracted_regex,reference,1
slips:15,slips:14,body_extracted_regex,reference,1
slips:16,slips:11,body_extracted_regex,reference,1
slips:17,slips:10,body_extracted_regex,reference,1
slips:19,slips:21,body_extracted_regex,reference,1
slips:21,slips:10,body_extracted_regex,reference,1
slips:21,slips:11,body_extracted_regex,reference,1
slips:21,slips:39,body_extracted_regex,reference,1
slips:22,slips:10,body_extracted_regex,reference,1
slips:22,slips:21,body_extracted_regex,reference,1
slips:22,slips:39,body_extracted_regex,reference,1
slips:23,slips:10,body_extracted_regex,reference,1
slips:23,slips:39,body_extracted_regex,reference,1
slips:24,slips:21,body_extracted_regex,reference,1
slips:24,slips:44,body_extracted_regex,reference,1
slips:25,slips:10,body_extracted_regex,reference,1
slips:25,slips:44,body_extracted_regex,reference,1
slips:48,slips:44,body_extracted_regex,reference,1
slips:77,slips:21,body_extracted_regex,reference,1
slips:132,slips:32,body_extracted_regex,reference,1
