source,target,extraction_method,relation_type,value
slips:10,bips:32,body_extracted_regex,reference,9
slips:10,bips:39,body_extracted_regex,reference,4
slips:11,bips:32,body_extracted_regex,reference,4
slips:11,slips:15,body_extracted_regex,reference,2
slips:11,slips:16,body_extracted_regex,reference,2
slips:13,bips:32,body_extracted_regex,reference,4
slips:13,bips:43,body_extracted_regex,reference,2
slips:14,bips:32,body_extracted_regex,reference,2
slips:14,bips:39,body_extracted_regex,reference,2
slips:14,bips:44,body_extracted_regex,reference,3
slips:14,bips:49,body_extracted_regex,reference,3
slips:14,bips:84,body_extracted_regex,reference,3
slips:15,bips:32,body_extracted_regex,reference,2
slips:15,slips:11,body_extracted_regex,reference,2
slips:15,slips:14,body_extracted_regex,reference,2
slips:16,bips:32,body_extracted_regex,reference,1
slips:16,slips:11,body_extracted_regex,reference,2
slips:17,bips:32,body_extracted_regex,reference,3
slips:17,bips:43,body_extracted_regex,reference,2
slips:19,bips:16,body_extracted_regex,reference,1
slips:19,bips:32,body_extracted_regex,reference,5
slips:19,bips:39,body_extracted_regex,reference,6
slips:19,bips:174,body_extracted_regex,reference,5
slips:19,bips:322,body_extracted_regex,reference,7
slips:19,slips:21,body_extracted_regex,reference,2
slips:21,bips:32,body_extracted_regex,reference,8
slips:21,bips:39,body_extracted_regex,reference,3
slips:21,slips:10,body_extracted_regex,reference,7
slips:21,slips:11,body_extracted_regex,reference,3
slips:21,slips:39,body_extracted_regex,reference,2
slips:22,bips:39,body_extracted_regex,reference,3
slips:22,slips:10,body_extracted_regex,reference,5
slips:22,slips:21,body_extracted_regex,reference,5
slips:22,slips:39,body_extracted_regex,reference,2
slips:23,bips:32,body_extracted_regex,reference,9
slips:23,bips:39,body_extracted_regex,reference,8
slips:23,slips:10,body_extracted_regex,reference,6
slips:23,slips:39,body_extracted_regex,reference,9
slips:32,bips:32,body_extracted_regex,reference,7
slips:32,bips:173,body_extracted_regex,reference,3
slips:39,bips:32,body_extracted_regex,reference,17
slips:39,bips:39,body_extracted_regex,reference,20
slips:39,bips:173,body_extracted_regex,reference,3
slips:44,bips:44,body_extracted_regex,reference,10
slips:48,bips:32,body_extracted_regex,reference,1
slips:48,bips:43,body_extracted_regex,reference,1
slips:48,bips:44,body_extracted_regex,reference,5
slips:48,slips:44,body_extracted_regex,reference,1
slips:77,bips:39,body_extracted_regex,reference,2
slips:77,slips:21,body_extracted_regex,reference,2
slips:132,bips:32,body_extracted_regex,reference,9
slips:132,bips:49,body_extracted_regex,reference,3
slips:132,bips:84,body_extracted_regex,reference,2
slips:132,slips:32,body_extracted_regex,reference,6
slips:173,bips:173,body_extracted_regex,reference,5
slips:10,bips:32,body_extracted_llm,implicit_dependency,1
slips:10,bips:39,body_extracted_llm,implicit_dependency,1
slips:11,slips:32,body_extracted_llm,implicit_dependency,1
slips:13,bips:32,body_extracted_llm,implicit_dependency,1
slips:13,bips:43,body_extracted_llm,implicit_dependency,1
slips:15,bips:32,body_extracted_llm,implicit_dependency,1
slips:15,slips:11,body_extracted_llm,implicit_dependency,1
slips:15,slips:14,body_extracted_llm,implicit_dependency,1
slips:16,bips:32,body_extracted_llm,implicit_dependency,1
slips:16,slips:11,body_extracted_llm,implicit_dependency,1
slips:17,bips:32,body_extracted_llm,implicit_dependency,1
slips:17,bips:43,body_extracted_llm,implicit_dependency,1
slips:21,bips:32,body_extracted_llm,implicit_dependency,1
slips:21,bips:39,body_extracted_llm,implicit_dependency,1
slips:21,slips:10,body_extracted_llm,implicit_dependency,1
slips:21,slips:39,body_extracted_llm,implicit_dependency,1
slips:22,bips:39,body_extracted_llm,implicit_dependency,1
slips:22,slips:10,body_extracted_llm,implicit_dependency,1
slips:22,slips:21,body_extracted_llm,implicit_dependency,1
slips:23,bips:32,body_extracted_llm,implicit_dependency,1
slips:23,bips:39,body_extracted_llm,implicit_dependency,1
slips:23,slips:10,body_extracted_llm,implicit_dependency,1
slips:23,slips:39,body_extracted_llm,implicit_dependency,1
slips:32,bips:32,body_extracted_llm,implicit_dependency,1
slips:32,bips:173,body_extracted_llm,implicit_dependency,1
slips:39,bips:32,body_extracted_llm,implicit_dependency,1
slips:39,bips:173,body_extracted_llm,implicit_dependency,1
slips:48,bips:32,body_extracted_llm,implicit_dependency,1
slips:48,bips:43,body_extracted_llm,implicit_dependency,1
slips:48,bips:44,body_extracted_llm,implicit_dependency,1
slips:77,bips:39,body_extracted_llm,implicit_dependency,1
slips:77,slips:21,body_extracted_llm,implicit_dependency,1
slips:132,bips:32,body_extracted_llm,implicit_dependency,1
slips:173,bips:173,body_extracted_llm,implicit_dependency,1
slips:10,bips:32,ground_truth_curated,depends_on,1
slips:21,bips:32,ground_truth_curated,depends_on,1
slips:21,bips:39,ground_truth_curated,depends_on,1
slips:21,slips:10,ground_truth_curated,depends_on,1
slips:21,slips:39,ground_truth_curated,depends_on,1
slips:39,bips:32,ground_truth_curated,depends_on,1
slips:39,bips:39,ground_truth_curated,supersedes,1
slips:44,bips:44,ground_truth_curated,depends_on,1
