edge_type,source,target,value
body_extracted_regex,10,39,1
body_extracted_regex,11,15,1
body_extracted_regex,11,16,1
body_extracted_regex,13,10,1
body_extracted_regex,15,11,1
body_extracted_regex,15,14,1
body_extracted_regex,16,11,1
body_extracted_regex,17,10,1
body_extracted_regex,19,21,1
body_extracted_regex,21,10,1
body_extracted_regex,21,11,1
body_extracted_regex,21,39,1
body_extracted_regex,22,10,1
body_extracted_regex,22,21,1
body_extracted_regex,22,39,1
body_extracted_regex,23,10,1
body_extracted_regex,23,39,1
body_extracted_regex,24,21,1
body_extracted_regex,24,44,1
body_extracted_regex,25,10,1
body_extracted_regex,25,44,1
body_extracted_regex,48,44,1
body_extracted_regex,77,21,1
body_extracted_regex,132,32,1
