ip	reviewer	reviewed_at	sampling_strategy	sampling_snapshot	sampling_seed	era_bucket	density_bucket	density_basis	created	status	type	layer	title	extracted_target_count	note
nips:02	rbo		sampler	2026-05-30	42	early	none	llm_only	2022-05-01	Final	Optional		Follow List	0	
nips:17	rbo	2026-06-22	manual	-	-	-	-	-	2023-08-09	Draft	Optional	Relay	Private Direct Messages	5	
nips:22	rbo		sampler	2026-05-30	42	early	high	llm_only	2022-07-22	Draft	Optional		Comment	4	
nips:27	rbo		sampler	2026-05-30	42	early	high	llm_only	2022-08-16	Draft	Optional		Text Note References	4	
nips:28	rbo		sampler	2026-05-30	42	early	low	llm_only	2022-09-10	Draft	Optional		Public Chat	1	
nips:34	rbo		sampler	2026-05-30	42	recent	high	llm_only	2024-03-05	Draft	Optional		`git` stuff	3	
nips:56	rbo		sampler	2026-05-30	42	middle	low	llm_only	2023-02-07	Unknown	Optional		Reporting	1	
nips:73	rbo		sampler	2026-05-30	42	recent	none	llm_only	2024-08-05	Draft	Optional		External Content IDs	0	
nips:89	rbo		sampler	2026-05-30	42	middle	high	llm_only	2023-06-07	Draft	Optional		Recommended Application Handlers	3	
nips:98	rbo		sampler	2026-05-30	42	middle	none	llm_only	2023-04-24	Draft	Optional		HTTP Auth	0	
nips:A0	rbo		sampler	2026-05-30	42	recent	low	llm_only	2025-07-23	Draft			Voice Messages	2	
