id,status,compliance_score,bip2_score,bip3_score
01,Draft,80.0,,
02,Final,80.0,,
03,Draft,80.0,,
04,Final,80.0,,
05,Final,80.0,,
06,Draft,80.0,,
07,Draft,80.0,,
08,Final,80.0,,
09,Draft,80.0,,
10,Draft,80.0,,
11,Draft,80.0,,
12,Final,80.0,,
13,Draft,80.0,,
14,Draft,80.0,,
15,Draft,80.0,,
16,Final,80.0,,
17,Draft,80.0,,
18,Draft,80.0,,
19,Draft,80.0,,
20,Final,80.0,,
21,Draft,80.0,,
22,Draft,80.0,,
23,Draft,80.0,,
24,Draft,80.0,,
25,Draft,80.0,,
26,Draft,80.0,,
27,Draft,80.0,,
28,Draft,80.0,,
29,Draft,80.0,,
30,Draft,80.0,,
31,Draft,80.0,,
32,Draft,80.0,,
33,Final,80.0,,
34,Draft,80.0,,
35,Draft,80.0,,
36,Draft,80.0,,
37,Draft,80.0,,
38,Draft,80.0,,
39,Draft,80.0,,
40,Draft,80.0,,
42,Draft,80.0,,
44,Unknown,80.0,,
45,Draft,80.0,,
46,Unknown,60.0,,
47,Draft,80.0,,
48,Draft,80.0,,
49,Draft,80.0,,
50,Draft,80.0,,
51,Draft,80.0,,
52,Draft,80.0,,
53,Draft,80.0,,
54,Draft,80.0,,
55,Draft,80.0,,
56,Unknown,80.0,,
57,Draft,80.0,,
58,Draft,80.0,,
59,Unknown,80.0,,
60,Draft,80.0,,
61,Unknown,60.0,,
64,Draft,80.0,,
65,Draft,80.0,,
68,Draft,80.0,,
69,Draft,80.0,,
70,Draft,80.0,,
71,Draft,80.0,,
72,Draft,80.0,,
73,Draft,80.0,,
75,Draft,80.0,,
78,Draft,80.0,,
7D,Draft,80.0,,
84,Draft,80.0,,
86,Draft,80.0,,
89,Draft,80.0,,
90,Draft,80.0,,
92,Unknown,60.0,,
94,Draft,80.0,,
96,Draft,80.0,,
98,Draft,80.0,,
99,Draft,80.0,,
C7,Draft,80.0,,
