source,target,value
07,44,1
09,16,1
09,33,1
11,13,1
11,42,1
15,19,1
15,33,1
17,44,1
17,59,1
18,16,1
18,21,1
18,33,1
18,70,1
19,16,1
19,33,1
21,19,1
22,16,1
22,33,1
22,73,1
23,19,1
23,21,1
23,22,1
23,27,1
23,33,1
24,65,1
25,30,1
25,33,1
25,73,1
27,19,1
27,21,1
28,10,1
29,11,1
29,19,1
29,33,1
29,98,1
30,25,1
30,33,1
30,38,1
30,51,1
32,12,1
32,33,1
32,65,1
34,10,1
34,19,1
34,22,1
34,33,1
35,10,1
37,33,1
37,44,1
37,65,1
38,33,1
38,40,1
39,19,1
40,11,1
40,16,1
42,20,1
43,11,1
43,16,1
43,20,1
43,42,1
43,70,1
45,33,1
46,44,1
47,16,1
47,40,1
47,44,1
49,19,1
50,11,1
51,16,1
51,17,1
51,28,1
51,29,1
51,30,1
51,33,1
51,34,1
51,37,1
51,44,1
51,54,1
51,58,1
51,65,1
51,72,1
51,94,1
52,33,1
53,10,1
53,16,1
53,19,1
53,21,1
53,33,1
54,21,1
54,25,1
54,33,1
55,44,1
55,57,1
56,32,1
57,33,1
58,16,1
58,33,1
58,51,1
59,16,1
59,44,1
60,40,1
60,44,1
60,51,1
60,61,1
60,65,1
61,10,1
61,12,1
61,44,1
61,60,1
61,65,1
62,59,1
65,16,1
66,11,1
66,33,1
66,52,1
66,65,1
68,36,1
68,94,1
69,33,1
69,40,1
70,18,1
70,42,1
71,33,1
71,92,1
71,94,1
71,96,1
72,16,1
72,18,1
72,22,1
72,33,1
75,33,1
75,57,1
78,33,1
84,18,1
84,33,1
85,16,1
85,33,1
85,44,1
85,73,1
86,98,1
87,12,1
87,33,1
88,51,1
89,12,1
89,19,1
89,33,1
92,94,1
96,16,1
96,94,1
96,98,1
99,33,1
99,58,1
