source,target,value
01,10,1
04,17,1
05,19,1
07,44,1
08,27,1
10,21,1
10,22,1
11,13,1
11,17,1
11,42,1
15,19,1
17,21,1
17,42,1
17,44,1
17,59,1
18,21,1
18,70,1
21,19,1
22,10,1
22,21,1
22,73,1
22,94,1
23,19,1
23,21,1
23,22,1
23,27,1
23,37,1
24,51,1
24,52,1
24,53,1
24,65,1
24,73,1
24,99,1
25,30,1
25,73,1
27,18,1
27,19,1
27,21,1
28,10,1
28,16,1
29,11,1
29,51,1
29,98,1
30,25,1
30,38,1
30,51,1
31,89,1
32,28,1
34,10,1
34,22,1
34,65,1
35,10,1
36,32,1
37,40,1
37,42,1
37,44,1
37,65,1
38,30,1
43,11,1
43,42,1
43,70,1
45,65,1
46,44,1
46,89,1
47,44,1
47,57,1
51,17,1
51,28,1
51,29,1
51,30,1
51,34,1
51,37,1
51,44,1
51,54,1
51,58,1
51,65,1
51,72,1
53,19,1
53,21,1
54,21,1
54,25,1
54,51,1
55,44,1
55,46,1
56,32,1
57,23,1
58,51,1
59,13,1
59,17,1
59,19,1
59,42,1
59,44,1
59,62,1
5A,65,1
60,40,1
60,44,1
60,61,1
60,65,1
61,44,1
61,60,1
61,65,1
62,59,1
66,11,1
66,52,1
68,71,1
68,94,1
69,40,1
70,42,1
71,92,1
71,94,1
71,96,1
72,18,1
72,22,1
7D,22,1
84,94,1
85,44,1
85,73,1
86,98,1
89,19,1
89,31,1
90,89,1
92,94,1
94,96,1
96,94,1
96,98,1
99,15,1
99,23,1
99,58,1
A0,22,1
A0,92,1
A4,17,1
A4,18,1
A4,19,1
A4,21,1
A4,25,1
A4,40,1
A4,57,1
A4,65,1
A4,92,1
B0,22,1
BE,77,1
C0,34,1
C7,18,1
EE,17,1
EE,44,1
EE,59,1
EE,70,1
F4,51,1
