id,unique_terms,total_terms
01,202,914
02,49,158
03,25,71
04,60,159
05,86,375
06,18,51
07,31,107
08,27,75
09,33,162
10,58,288
11,175,655
12,2,4
13,57,208
14,12,34
15,196,1020
16,2,4
17,141,674
18,27,104
19,62,206
20,2,4
21,18,54
22,82,497
23,52,153
24,35,106
25,57,258
26,67,254
27,60,221
28,82,369
29,195,994
30,39,169
31,17,51
32,78,342
33,3,6
34,157,853
35,66,210
36,16,53
37,45,151
38,35,114
39,42,160
40,26,97
42,70,333
43,66,344
44,274,1273
45,118,534
46,146,758
47,286,2150
48,30,94
49,81,274
50,43,154
51,182,764
52,143,896
53,154,750
54,124,492
55,148,1329
56,53,176
57,172,964
58,84,400
59,150,813
5A,125,638
60,96,513
61,88,464
62,36,129
64,222,723
65,27,105
66,83,333
68,79,232
69,79,243
70,45,145
71,165,852
72,87,493
73,95,377
75,42,158
77,137,619
78,23,66
7D,12,31
84,36,118
85,114,526
86,44,256
87,83,435
88,56,227
89,85,434
90,143,810
92,30,97
94,51,165
96,188,1075
98,32,97
99,71,214
A0,85,286
A4,37,123
B0,27,72
B7,34,119
BE,102,474
C0,76,226
C7,11,33
CC,144,635
EE,322,2103
F4,77,269
