edge_type,source,target,value
body_extracted_regex,01,10,1
body_extracted_regex,04,17,1
body_extracted_regex,05,19,1
body_extracted_regex,07,44,1
body_extracted_regex,08,27,1
body_extracted_regex,10,21,1
body_extracted_regex,10,22,1
body_extracted_regex,11,13,1
body_extracted_regex,11,17,1
body_extracted_regex,11,42,1
body_extracted_regex,15,19,1
body_extracted_regex,17,21,1
body_extracted_regex,17,42,1
body_extracted_regex,17,44,1
body_extracted_regex,17,59,1
body_extracted_regex,18,21,1
body_extracted_regex,18,70,1
body_extracted_regex,21,19,1
body_extracted_regex,22,10,1
body_extracted_regex,22,21,1
body_extracted_regex,22,73,1
body_extracted_regex,22,94,1
body_extracted_regex,23,19,1
body_extracted_regex,23,21,1
body_extracted_regex,23,22,1
body_extracted_regex,23,27,1
body_extracted_regex,23,37,1
body_extracted_regex,24,51,1
body_extracted_regex,24,52,1
body_extracted_regex,24,53,1
body_extracted_regex,24,65,1
body_extracted_regex,24,73,1
body_extracted_regex,24,99,1
body_extracted_regex,25,30,1
body_extracted_regex,25,73,1
body_extracted_regex,27,18,1
body_extracted_regex,27,19,1
body_extracted_regex,27,21,1
body_extracted_regex,28,10,1
body_extracted_regex,28,16,1
body_extracted_regex,29,11,1
body_extracted_regex,29,51,1
body_extracted_regex,29,98,1
body_extracted_regex,30,25,1
body_extracted_regex,30,38,1
body_extracted_regex,30,51,1
body_extracted_regex,31,89,1
body_extracted_regex,32,28,1
body_extracted_regex,34,10,1
body_extracted_regex,34,22,1
body_extracted_regex,34,65,1
body_extracted_regex,35,10,1
body_extracted_regex,36,32,1
body_extracted_regex,37,40,1
body_extracted_regex,37,42,1
body_extracted_regex,37,44,1
body_extracted_regex,37,65,1
body_extracted_regex,38,30,1
body_extracted_regex,43,11,1
body_extracted_regex,43,42,1
body_extracted_regex,43,70,1
body_extracted_regex,45,65,1
body_extracted_regex,46,44,1
body_extracted_regex,46,89,1
body_extracted_regex,47,44,1
body_extracted_regex,47,57,1
body_extracted_regex,51,17,1
body_extracted_regex,51,28,1
body_extracted_regex,51,29,1
body_extracted_regex,51,30,1
body_extracted_regex,51,34,1
body_extracted_regex,51,37,1
body_extracted_regex,51,44,1
body_extracted_regex,51,54,1
body_extracted_regex,51,58,1
body_extracted_regex,51,65,1
body_extracted_regex,51,72,1
body_extracted_regex,53,19,1
body_extracted_regex,53,21,1
body_extracted_regex,54,21,1
body_extracted_regex,54,25,1
body_extracted_regex,54,51,1
body_extracted_regex,55,44,1
body_extracted_regex,55,46,1
body_extracted_regex,56,32,1
body_extracted_regex,57,23,1
body_extracted_regex,58,51,1
body_extracted_regex,59,13,1
body_extracted_regex,59,17,1
body_extracted_regex,59,19,1
body_extracted_regex,59,42,1
body_extracted_regex,59,44,1
body_extracted_regex,59,62,1
body_extracted_regex,5A,65,1
body_extracted_regex,60,40,1
body_extracted_regex,60,44,1
body_extracted_regex,60,61,1
body_extracted_regex,60,65,1
body_extracted_regex,61,44,1
body_extracted_regex,61,60,1
body_extracted_regex,61,65,1
body_extracted_regex,62,59,1
body_extracted_regex,66,11,1
body_extracted_regex,66,52,1
body_extracted_regex,68,71,1
body_extracted_regex,68,94,1
body_extracted_regex,69,40,1
body_extracted_regex,70,42,1
body_extracted_regex,71,92,1
body_extracted_regex,71,94,1
body_extracted_regex,71,96,1
body_extracted_regex,72,18,1
body_extracted_regex,72,22,1
body_extracted_regex,7D,22,1
body_extracted_regex,84,94,1
body_extracted_regex,85,44,1
body_extracted_regex,85,73,1
body_extracted_regex,86,98,1
body_extracted_regex,89,19,1
body_extracted_regex,89,31,1
body_extracted_regex,90,89,1
body_extracted_regex,92,94,1
body_extracted_regex,94,96,1
body_extracted_regex,96,94,1
body_extracted_regex,96,98,1
body_extracted_regex,99,15,1
body_extracted_regex,99,23,1
body_extracted_regex,99,58,1
body_extracted_regex,A0,22,1
body_extracted_regex,A0,92,1
body_extracted_regex,A4,17,1
body_extracted_regex,A4,18,1
body_extracted_regex,A4,19,1
body_extracted_regex,A4,21,1
body_extracted_regex,A4,25,1
body_extracted_regex,A4,40,1
body_extracted_regex,A4,57,1
body_extracted_regex,A4,65,1
body_extracted_regex,A4,92,1
body_extracted_regex,B0,22,1
body_extracted_regex,BE,77,1
body_extracted_regex,C0,34,1
body_extracted_regex,C7,18,1
body_extracted_regex,EE,17,1
body_extracted_regex,EE,44,1
body_extracted_regex,EE,59,1
body_extracted_regex,EE,70,1
body_extracted_regex,F4,51,1
body_extracted_llm,07,44,1
body_extracted_llm,09,16,1
body_extracted_llm,09,33,1
body_extracted_llm,11,13,1
body_extracted_llm,11,42,1
body_extracted_llm,15,19,1
body_extracted_llm,15,33,1
body_extracted_llm,17,44,1
body_extracted_llm,17,59,1
body_extracted_llm,18,16,1
body_extracted_llm,18,21,1
body_extracted_llm,18,33,1
body_extracted_llm,18,70,1
body_extracted_llm,19,16,1
body_extracted_llm,19,33,1
body_extracted_llm,21,19,1
body_extracted_llm,22,16,1
body_extracted_llm,22,33,1
body_extracted_llm,22,73,1
body_extracted_llm,23,19,1
body_extracted_llm,23,21,1
body_extracted_llm,23,22,1
body_extracted_llm,23,27,1
body_extracted_llm,23,33,1
body_extracted_llm,24,65,1
body_extracted_llm,25,30,1
body_extracted_llm,25,33,1
body_extracted_llm,25,73,1
body_extracted_llm,27,19,1
body_extracted_llm,27,21,1
body_extracted_llm,28,10,1
body_extracted_llm,29,11,1
body_extracted_llm,29,19,1
body_extracted_llm,29,33,1
body_extracted_llm,29,98,1
body_extracted_llm,30,25,1
body_extracted_llm,30,33,1
body_extracted_llm,30,38,1
body_extracted_llm,30,51,1
body_extracted_llm,32,12,1
body_extracted_llm,32,33,1
body_extracted_llm,32,65,1
body_extracted_llm,34,10,1
body_extracted_llm,34,19,1
body_extracted_llm,34,22,1
body_extracted_llm,34,33,1
body_extracted_llm,35,10,1
body_extracted_llm,37,33,1
body_extracted_llm,37,44,1
body_extracted_llm,37,65,1
body_extracted_llm,38,33,1
body_extracted_llm,38,40,1
body_extracted_llm,39,19,1
body_extracted_llm,40,11,1
body_extracted_llm,40,16,1
body_extracted_llm,42,20,1
body_extracted_llm,43,11,1
body_extracted_llm,43,16,1
